"Column Name","Label"
"DP4_0066CA","Annotation of Number!!SEWAGE DISPOSAL!!Total housing units!!Other means"
"DP4_0067C","Number!!SELECTED CHARACTERISTICS!!Total housing units"
"DP4_0067CA","Annotation of Number!!SELECTED CHARACTERISTICS!!Total housing units"
"DP4_0068C","Number!!SELECTED CHARACTERISTICS!!Total housing units!!Lacking complete plumbing facilities"
"DP4_0068CA","Annotation of Number!!SELECTED CHARACTERISTICS!!Total housing units!!Lacking complete plumbing facilities"
"DP4_0069C","Number!!SELECTED CHARACTERISTICS!!Total housing units!!Lacking complete kitchen facilities"
"DP4_0069CA","Annotation of Number!!SELECTED CHARACTERISTICS!!Total housing units!!Lacking complete kitchen facilities"
"DP4_0070C","Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP4_0070CA","Annotation of Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units"
"DP4_0071C","Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 to 2020"
"DP4_0071CA","Annotation of Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 to 2020"
"DP4_0072C","Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2018"
"DP4_0072CA","Annotation of Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2018"
"DP4_0073C","Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009"
"DP4_0073CA","Annotation of Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009"
"DP4_0074C","Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999"
"DP4_0074CA","Annotation of Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999"
"DP4_0075C","Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989"
"DP4_0075CA","Annotation of Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989"
"DP4_0076C","Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1979 or earlier"
"DP4_0076CA","Annotation of Number!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1979 or earlier"
"DP4_0077C","Number!!VEHICLES AVAILABLE!!Occupied housing units"
"DP4_0077CA","Annotation of Number!!VEHICLES AVAILABLE!!Occupied housing units"
"DP4_0078C","Number!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicle available"
"DP4_0078CA","Annotation of Number!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicle available"
"DP4_0079C","Number!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available"
"DP4_0079CA","Annotation of Number!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available"
"DP4_0080C","Number!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available"
"DP4_0080CA","Annotation of Number!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available"
"DP4_0081C","Number!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available"
"DP4_0081CA","Annotation of Number!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available"
"DP4_0082C","Number!!OCCUPANTS PER ROOM!!Occupied housing units"
"DP4_0082CA","Annotation of Number!!OCCUPANTS PER ROOM!!Occupied housing units"
"DP4_0083C","Number!!OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less occupants per room"
"DP4_0083CA","Annotation of Number!!OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less occupants per room"
"DP4_0084C","Number!!OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50 occupants per room"
"DP4_0084CA","Annotation of Number!!OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50 occupants per room"
"DP4_0085C","Number!!OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more occupants per room"
"DP4_0085CA","Annotation of Number!!OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more occupants per room"
"DP4_0086C","Number!!TELEPHONE SERVICE AVAILABLE!!Occupied housing units"
"DP4_0086CA","Annotation of Number!!TELEPHONE SERVICE AVAILABLE!!Occupied housing units"
"DP4_0087C","Number!!TELEPHONE SERVICE AVAILABLE!!Occupied housing units!!With telephone service available"
"DP4_0087CA","Annotation of Number!!TELEPHONE SERVICE AVAILABLE!!Occupied housing units!!With telephone service available"
