CWNS_NUMBER,PRES_RES_RECEIVING_COLLCTN,PRES_RES_UPSTREAM,PRES_RES_TOTAL_RECEIVNG_TRMT,PRES_RES_DOWNSTREAM,PRES_RES_ACTUAL_RECEIVNG_TRMT,PRES_RES_ONSITE_WTS,PRES_RES_ONSITE_WTS_UNITS,PRES_RES_ONSITE_WTS_POP_P_UT,PRES_RES_CLUSTER,PRES_RES_CLUSTER_UNITS,PRES_RES_CLUSTER_POP_P_UT,PRES_N_RES_RECEIVING_COLLCTN,PRES_N_RES_UPSTREAM,PRES_N_RES_TOTAL_RECEIVNG_TRMT,PRES_N_RES_DOWNSTREAM,PRES_N_RES_ACTUAL_RECEVNG_TRMT,PRES_N_RES_ONSITE_WTS,PRES_N_RES_ONSITE_WTS_UNITS,PRES_N_RES_ONSITE_WTS_POP_P_UT,PRES_N_RES_CLUSTER,PRES_N_RES_CLUSTER_UNITS,PRES_N_RES_CLUSTER_POP_P_UT,PROJ_RES_RECEIVING_COLLCTN,PROJ_RES_REC_COLLCTN_YEAR,PROJ_RES_UPSTREAM,PROJ_RES_TOTAL_RECEIVNG_TRMT,PROJ_RES_DOWNSTREAM,PROJ_RES_ACTUAL_RECEIVNG_TRMT,PROJ_RES_ONSITE_WTS,PROJ_RES_ONSITE_WTS_UNITS,PROJ_RES_ONSITE_WTS_POP_P_UT,PROJ_RES_ONSITE_WTS_YEAR,PROJ_RES_CLUSTER,PROJ_RES_CLUSTER_UNITS,PROJ_RES_CLUSTER_POP_P_UT,PROJ_RES_CLUSTER_YEAR,PROJ_N_RES_RECEIVING_COLLCTN,PROJ_N_RES_REC_COLLCTN_YEAR,PROJ_N_RES_UPSTREAM,PROJ_N_RES_TOTAL_RECEIVNG_TRMT,PROJ_N_RES_DOWNSTREAM,PROJ_N_RES_ACTUAL_RECEVNG_TRMT,PROJ_N_RES_ONSITE_WTS,PROJ_N_RES_ONSITE_WTS_UNITS,PROJ_N_RES_ONSITE_WTS_POP_P_UT,PROJ_N_RES_ONSITE_WTS_YEAR,PROJ_N_RES_CLUSTER,PROJ_N_RES_CLUSTER_UNITS,PROJ_N_RES_CLUSTER_POP_P_UT,PROJ_N_RES_CLUSTER_YEAR
"06005162001",2449,,2449,0,2449,,,,,,,,,,,,,,,,,,2800,,,2800,0,2800,,,,,,,,,,,,,,,,,,,,,,
"06005164001",3750,,3750,0,3750,,,,,,,15,,15,0,15,,,,,,,4750,2022,,4750,0,4750,,,,,,,,,15,,,15,0,15,,,,,,,,
"06005169001",663,,663,0,663,,,,,,,,,,,,,,,,,,731,,,731,0,731,,,,,,,,,,,,,,,,,,,,,,
"06005176001",6500,,6500,0,6500,225,83,2.71,,,,14506,,14506,0,14506,,,,,,,6725,2022,,6725,0,6725,225,83,2.71,,,,,,25000,,,25000,0,25000,,,,,,,,
"06005178001",10422,339,10761,0,10761,,,,,,,,,,,,,,,,,,11244,2022,426,11670,0,11670,,,,,,,,,,,,,,,,,,,,,,
"06005179001",10567,,10567,0,10567,,,,,,,,,,,,,,,,,,13698,2022,,13698,0,13698,,,,,,,,,,,,,,,,,,,,,,
"06005183001",2582,,2582,0,2582,,,,,,,,,,,,,,,,,,2609,2022,,2609,0,2609,,,,,,,,,,,,,,,,,,,,,,
"06005185001",1086,,1086,1086,0,144,48,3,,,,,,,,,,,,,,,1100,,,1100,1100,0,144,48,3,,,,,,,,,,,,,,,,,,,
"06005186001",3257,,3257,0,3257,,,,,,,,,,,,,,,,,,3717,2022,,3717,0,3717,,,,,,,,,,,,,,,,,,,,,,
"06005197001",61416,2147,63563,0,63563,,,,,,,2550,,2550,0,2550,,,,,,,82000,2022,3606,85606,0,85606,,,,,,,,,2700,,,2700,0,2700,,,,,,,,
"06005198001",19000,,19000,0,19000,,,,,,,,,,,,,,,,,,23395,2020,,23395,0,23395,,,,,,,,,,,,,,,,,,,,,,
"06005200001",3064,,3064,0,3064,1151,466,2.47,,,,,,,,,,,,,,,4200,2022,,4200,0,4200,1151,466,2.47,,,,,,,,,,,,,,,,,,,
"06005201001",,,,,,481,195,2.47,,,,,,,,,,,,,,,,,,,,,913,370,2.47,,,,,,,,,,,,,,,,,,,
"06005204001",3276,,3276,0,3276,449,191,2.35,,,,180,,180,0,180,61,26,2.35,,,,3680,2022,,3680,0,3680,449,191,2.35,,,,,,300,,,300,0,300,,,,,,,,
"06005215001",18000,,18000,0,18000,,,,,,,,,,,,,,,,,,20000,,,20000,0,20000,,,,,,,,,,,,,,,,,,,,,,
"06005216001",10000,,10000,10000,0,,,,,,,1000,,1000,1000,0,,,,,,,15000,,,15000,15000,0,,,,,,,,,1000,,,1000,1000,0,,,,,,,,
"06005217001",1000,,1000,0,1000,,,,,,,,,,,,,,,,,,2000,2022,,2000,0,2000,,,,,,,,,,,,,,,,,,,,,,
"51000216001",682,100,782,782,0,,,,,,,,,,,,,,,,,,982,2025,120,1102,1102,0,,,,,,,,,,,,,,,,,,,,,,
"51000219002",5409,,5409,5409,0,1946,760,2.56,,,,,,,,,,,,,,,8569,,,8569,8569,0,508,198,2.56,,,,,,,,,,,,,,,,,,,
"51000219008",3000,,3000,3000,0,1999,781,2.56,,,,,,,,,,,,,,,6000,,,6000,6000,0,51,20,2.56,,,,,,,,,,,,,,,,,,,
"51000223001",810,,810,0,810,67,26,2.56,,,,,,,,,,,,,,,1018,,,1018,0,1018,67,26,2.56,,,,,,,,,,,,,,,,,,,
"51000225001",1568,,1568,0,1568,424,157,2.7,,,,,,,,,,,,,,,2308,,,2308,0,2308,270,100,2.7,,,,,,,,,,,,,,,,,,,
"51000226001",12627,,12627,0,12627,,,,,,,,,,,,,,,,,,19656,,,19656,0,19656,,,,,,,,,,,,,,,,,,,,,,
"51000228001",1644,,1644,0,1644,323,132,2.45,,,,300,,300,0,300,,,,,,,5200,,,5200,0,5200,142,58,2.45,,,,,,,,,,,,,,,,,,,
"51000234001",880,,880,0,880,47,19,2.45,,,,,,,,,,,,,,,1074,,,1074,0,1074,5,2,2.45,,,,,,,,,,,,,,,,,,,
"51000240001",1946,420,2366,0,2366,,,,,,,,,,,,,,,,,,2309,,733,3042,0,3042,,,,,,,,,,,,,,,,,,,,,,
"51000242001",702,,702,0,702,86,38,2.27,,,,,,,,,,,,,,,950,,,950,0,950,,,2.27,,,,,,,,,,,,,,,,,,,
"51000243001",864,,864,864,0,215,82,2.62,,,,,,,,,,,,,,,2076,,,2076,2076,0,,,2.62,,,,,,,,,,,,,,,,,,,
"51000245001",1146,,1146,0,1146,754,307,2.46,,,,,,,,,,,,,,,2240,,,2240,0,2240,,,2.46,,,,,,,,,,,,,,,,,,,
"51000250001",8439,,8439,0,8439,3660,1506,2.43,,,,,,,,,,,,,,,13143,,,13143,0,13143,3660,1506,2.43,,,,,,,,,,,,,,,,,,,
