,county_subdivision_name,county_subdivision_fips,county_fips,num_septic_tanks,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
130,Indialantic-Melbourne Beach,91573,9,70,37340.0,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Central
131,Indiantown,91586,85,1176,38940.0,"Port St. Lucie, FL",Metropolitan Statistical Area,Central
132,Interior County,91599,115,140,35840.0,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,Central
133,Interlachen-Florahome,91612,107,3183,37260.0,"Palatka, FL",Micropolitan Statistical Area,Central
134,Inverness,91625,17,11018,26140.0,"Homosassa Springs, FL",Metropolitan Statistical Area,Central
135,Jacksonville Beaches,91640,31,399,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Central
136,Jacksonville East,91642,31,10506,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Central
137,Jacksonville North,91644,31,4619,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Central
138,Jacksonville West,91646,31,10163,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Central
139,Jasper,91651,47,305,,,Rural Area,
140,Jay,91664,113,406,37860.0,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,Central
141,Jennings,91677,47,643,,,Rural Area,
142,Jupiter,91690,99,692,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
143,Kendale Lakes-Tamiami,91705,86,976,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
144,Kendall-Palmetto Bay,91714,86,5848,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
145,Key Biscayne,91729,86,382,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
146,Key West,91755,87,1093,28580.0,"Key West, FL",Micropolitan Statistical Area,Central
147,Keystone Heights,91742,19,3812,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Central
148,Keystone-Citrus Park,91735,57,2057,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
149,Kissimmee,91768,97,2397,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Outlying
150,LaBelle,91781,51,1779,17500.0,"Clewiston, FL",Micropolitan Statistical Area,Central
151,Lacoochee,91794,101,726,45300.0,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,Central
152,Lake Butler,91807,125,101,,,Rural Area,
153,Lake City,91820,23,1800,29380.0,"Lake City, FL",Micropolitan Statistical Area,Central
154,Lake Placid,91846,55,4340,42700.0,"Sebring, FL",Metropolitan Statistical Area,Central
155,Lake Wales,91859,105,2911,29460.0,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,Central
156,Lake Worth,91872,99,4635,33100.0,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,Central
157,Lakeland,91833,105,16839,29460.0,"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,Central
158,Laurel Hill,91885,91,329,18880.0,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Central
159,Lawtey,91898,7,463,,,Rural Area,
160,Leesburg,91911,69,547,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Outlying
161,Leesburg East,91924,69,1450,36740.0,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,Outlying
162,Lehigh Acres,91937,71,4576,15980.0,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Central
163,Live Oak,91950,121,1551,,,Rural Area,
164,Longboat Key,91963,115,3,35840.0,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,Central
165,Lower Keys,91976,87,1124,28580.0,"Key West, FL",Micropolitan Statistical Area,Central
166,Lynn Haven,91989,5,1572,37460.0,"Panama City, FL",Metropolitan Statistical Area,Central
167,Macclenny,92009,3,355,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Outlying
168,Madison,92015,79,555,,,Rural Area,
169,Malabar,92028,9,416,37340.0,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Central
170,Malone,92041,63,362,,,Rural Area,
171,Marco Island,92048,21,2733,34940.0,"Naples-Immokalee-Marco Island, FL",Metropolitan Statistical Area,Central
172,Marianna,92067,63,1293,,,Rural Area,
173,Matanzas,92080,109,1122,27260.0,"Jacksonville, FL",Metropolitan Statistical Area,Outlying
174,Mayo,92093,67,133,,,Rural Area,
175,McAlpin-Wellborn,92002,121,1203,,,Rural Area,
176,Melbourne,92106,9,560,37340.0,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,Central
