,STATE,STATEFP,COUNTY,NAMELSAD,COUNTYFP,PRES_RES_RECEIVING_COLLCTN,PRES_N_RES_RECEIVING_COLLCTN,epa_data,cbsa_fips,cbsa_name,metro_micro,central_outlying_county
2438,MN,27,Lake,Lake County,75,3667.0,0.0,True,,,Rural Area,
2439,MN,27,Freeborn,Freeborn County,47,17948.0,0.0,True,10660.0,"Albert Lea, MN",Micropolitan Statistical Area,Central
2440,MN,27,Renville,Renville County,129,4671.0,0.0,True,,,Rural Area,
2441,MN,27,Mille Lacs,Mille Lacs County,95,0.0,0.0,False,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Outlying
2442,MN,27,Hennepin,Hennepin County,53,1114499.0,0.0,True,33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Central
2443,WI,55,Oconto,Oconto County,83,15537.0,250.0,True,24580.0,"Green Bay, WI",Metropolitan Statistical Area,Outlying
2444,WI,55,Walworth,Walworth County,127,70367.0,23842.0,True,48580.0,"Whitewater-Elkhorn, WI",Micropolitan Statistical Area,Central
2445,WI,55,Florence,Florence County,37,1800.0,0.0,True,27020.0,"Iron Mountain, MI-WI",Micropolitan Statistical Area,Outlying
2446,WI,55,Lincoln,Lincoln County,69,13733.0,85.0,True,32980.0,"Merrill, WI",Micropolitan Statistical Area,Central
2447,WI,55,Langlade,Langlade County,67,8970.0,95.0,True,,,Rural Area,
2448,WI,55,Menominee,Menominee County,78,1400.0,0.0,True,43020.0,"Shawano, WI",Micropolitan Statistical Area,Outlying
2449,WI,55,Grant,Grant County,43,32397.0,5525.0,True,38420.0,"Platteville, WI",Micropolitan Statistical Area,Central
2450,WI,55,Eau Claire,Eau Claire County,35,75096.0,0.0,True,20740.0,"Eau Claire, WI",Metropolitan Statistical Area,Central
2451,WI,55,Racine,Racine County,101,179463.0,1800.0,True,39540.0,"Racine, WI",Metropolitan Statistical Area,Central
2452,WI,55,Clark,Clark County,19,12741.0,410.0,True,,,Rural Area,
2453,WI,55,Juneau,Juneau County,57,12151.0,1427.0,True,,,Rural Area,
2454,WI,55,Outagamie,Outagamie County,87,152252.0,671.0,True,11540.0,"Appleton, WI",Metropolitan Statistical Area,Central
2455,WI,55,Douglas,Douglas County,31,32239.0,25.0,True,20260.0,"Duluth, MN-WI",Metropolitan Statistical Area,Central
2456,WI,55,Jefferson,Jefferson County,55,64560.0,0.0,True,48020.0,"Watertown-Fort Atkinson, WI",Micropolitan Statistical Area,Central
2457,WI,55,Dunn,Dunn County,33,20778.0,261.0,True,32860.0,"Menomonie, WI",Micropolitan Statistical Area,Central
2458,WI,55,Brown,Brown County,9,232221.0,79.0,True,24580.0,"Green Bay, WI",Metropolitan Statistical Area,Central
2459,WI,55,Marathon,Marathon County,73,89966.0,1085.0,True,48140.0,"Wausau, WI",Metropolitan Statistical Area,Central
2460,WI,55,Lafayette,Lafayette County,65,7963.0,636.0,True,,,Rural Area,
2461,WI,55,Ashland,Ashland County,3,11454.0,2717.0,True,,,Rural Area,
2462,WI,55,Ozaukee,Ozaukee County,89,74728.0,0.0,True,33340.0,"Milwaukee-Waukesha-West Allis, WI",Metropolitan Statistical Area,Central
2463,WI,55,Crawford,Crawford County,23,10824.0,402.0,True,,,Rural Area,
2464,WI,55,Chippewa,Chippewa County,17,27861.0,4550.0,True,20740.0,"Eau Claire, WI",Metropolitan Statistical Area,Central
2465,WI,55,Kenosha,Kenosha County,59,146892.0,5905.0,True,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Outlying
2466,WI,55,Door,Door County,29,15283.0,8458.0,True,,,Rural Area,
2467,WI,55,Taylor,Taylor County,119,6581.0,620.0,True,,,Rural Area,
2468,WI,55,Marquette,Marquette County,77,4533.0,55.0,True,,,Rural Area,
2469,WI,55,Vernon,Vernon County,123,11814.0,1967.0,True,,,Rural Area,
2470,WI,55,Monroe,Monroe County,81,21994.0,3050.0,True,,,Rural Area,
2471,WI,55,Iron,Iron County,51,4997.0,1718.0,True,,,Rural Area,
2472,WI,55,La Crosse,La Crosse County,63,92313.0,416.0,True,29100.0,"La Crosse-Onalaska, WI-MN",Metropolitan Statistical Area,Central
2473,WI,55,Vilas,Vilas County,125,2887.0,2590.0,True,,,Rural Area,
