,"County, State",Percent of occupied housing units lacking complete plumbing facilities
727,"Hickman County, Tennessee",0.8
728,"Chariton County, Missouri",0.8
729,"Corson County, South Dakota",0.8
730,"Osborne County, Kansas",0.8
731,"Salem city, Virginia",0.8
732,"Meade County, Kentucky",0.8
733,"St. Louis County, Minnesota",0.8
734,"Ida County, Iowa",0.8
735,"Huerfano County, Colorado",0.8
736,"Cheyenne County, Kansas",0.8
737,"Rio Grande County, Colorado",0.8
738,"Cedar County, Missouri",0.8
739,"Wayne County, New York",0.8
740,"Perkins County, South Dakota",0.8
741,"Franklin County, Georgia",0.8
742,"Roberts County, South Dakota",0.8
743,"Spink County, South Dakota",0.8
744,"Somerset County, Maine",0.8
745,"Clarion County, Pennsylvania",0.8
746,"Roane County, West Virginia",0.8
747,"Green Lake County, Wisconsin",0.8
748,"Florence County, Wisconsin",0.8
749,"Wichita County, Texas",0.8
750,"Todd County, Kentucky",0.8
751,"Sanilac County, Michigan",0.8
752,"Bedford County, Pennsylvania",0.8
753,"Winkler County, Texas",0.8
754,"Pulaski County, Arkansas",0.8
755,"Wise County, Texas",0.8
756,"Douglas County, Oregon",0.8
757,"Grant County, Oregon",0.8
758,"Grant County, Wisconsin",0.8
759,"Pasquotank County, North Carolina",0.8
760,"Talbot County, Maryland",0.8
761,"Buffalo County, Wisconsin",0.8
762,"Newton County, Missouri",0.8
763,"Wheeler County, Oregon",0.8
764,"Tift County, Georgia",0.8
765,"Sherman County, Oregon",0.8
766,"Dickinson County, Iowa",0.8
767,"Franklin County, Florida",0.8
768,"Greene County, Mississippi",0.8
769,"Webster County, Nebraska",0.7
770,"Mineral County, Montana",0.7
771,"Missoula County, Montana",0.7
772,"Emmet County, Iowa",0.7
773,"Howard County, Nebraska",0.7
774,"Burke County, North Carolina",0.7
775,"Bertie County, North Carolina",0.7
776,"Custer County, Montana",0.7
777,"Poweshiek County, Iowa",0.7
778,"Woodbury County, Iowa",0.7
779,"Linn County, Kansas",0.7
780,"Jackson County, Kansas",0.7
781,"Rock County, Nebraska",0.7
782,"Valencia County, New Mexico",0.7
783,"Ringgold County, Iowa",0.7
784,"Franklin County, New York",0.7
785,"Doña Ana County, New Mexico",0.7
786,"Ellsworth County, Kansas",0.7
787,"Pawnee County, Nebraska",0.7
788,"Hamilton County, New York",0.7
789,"Clay County, North Carolina",0.7
790,"Dixon County, Nebraska",0.7
791,"Lea County, New Mexico",0.7
792,"Morris County, Kansas",0.7
793,"Washington County, New York",0.7
794,"Sheridan County, Montana",0.7
795,"Billings County, North Dakota",0.7
796,"Chaves County, New Mexico",0.7
797,"Otsego County, New York",0.7
798,"Ravalli County, Montana",0.7
799,"Lamar County, Georgia",0.7
800,"Adair County, Iowa",0.7
801,"Starr County, Texas",0.7
802,"Rockingham County, Virginia",0.7
803,"Washington Parish, Louisiana",0.7
804,"Northumberland County, Virginia",0.7
805,"King George County, Virginia",0.7
806,"Dinwiddie County, Virginia",0.7
807,"Tangipahoa Parish, Louisiana",0.7
808,"Franklin County, Vermont",0.7
809,"St. James Parish, Louisiana",0.7
810,"Washington County, Texas",0.7
811,"Van Zandt County, Texas",0.7
812,"Titus County, Texas",0.7
813,"Putnam County, Florida",0.7
814,"Schleicher County, Texas",0.7
815,"Wadena County, Minnesota",0.7
816,"Reeves County, Texas",0.7
817,"Baldwin County, Georgia",0.7
818,"Navarro County, Texas",0.7
819,"Jasper County, Mississippi",0.7
820,"Camden County, Georgia",0.7
821,"Lampasas County, Texas",0.7
822,"Leflore County, Mississippi",0.7
823,"Hill County, Texas",0.7
824,"Henderson County, Texas",0.7
825,"Hale County, Texas",0.7
826,"Lincoln County, Mississippi",0.7
827,"Concordia Parish, Louisiana",0.7
828,"Webster Parish, Louisiana",0.7
829,"Aroostook County, Maine",0.7
830,"Johnson County, Georgia",0.7
831,"Jefferson County, Arkansas",0.7
832,"Bibb County, Alabama",0.7
833,"Baraga County, Michigan",0.7
834,"Trujillo Alto Municipio, Puerto Rico",0.7
835,"Covington County, Alabama",0.7
836,"Rincón Municipio, Puerto Rico",0.7
837,"Quebradillas Municipio, Puerto Rico",0.7
838,"Naranjito Municipio, Puerto Rico",0.7
839,"Tallapoosa County, Alabama",0.7
840,"Washington County, Alabama",0.7
841,"Cayey Municipio, Puerto Rico",0.7
842,"Craighead County, Arkansas",0.7
843,"Izard County, Arkansas",0.7
844,"Kalkaska County, Michigan",0.7
845,"Franklin city, Virginia",0.7
846,"Lake County, Michigan",0.7
847,"Mecosta County, Michigan",0.7
848,"Price County, Wisconsin",0.7
849,"Randolph County, Arkansas",0.7
850,"Union County, Arkansas",0.7
851,"Colusa County, California",0.7
852,"Ashland County, Wisconsin",0.7
853,"Wyoming County, West Virginia",0.7
854,"Putnam County, West Virginia",0.7
855,"Nicollet County, Minnesota",0.7
856,"Kittitas County, Washington",0.7
857,"Fremont County, Colorado",0.7
858,"Jeff Davis County, Georgia",0.7
859,"Marion County, Texas",0.7
860,"Logan County, Kansas",0.7
861,"Polk County, Missouri",0.7
862,"Jackson County, South Dakota",0.7
863,"Fayette County, Indiana",0.7
864,"Menifee County, Kentucky",0.7
865,"Coles County, Illinois",0.7
866,"McCurtain County, Oklahoma",0.7
867,"Cooper County, Missouri",0.7
868,"Ottawa County, Oklahoma",0.7
869,"Georgetown County, South Carolina",0.7
870,"Logan County, Kentucky",0.7
871,"Dillon County, South Carolina",0.7
872,"Johnson County, Missouri",0.7
873,"Gallatin County, Kentucky",0.7
874,"Mercer County, Pennsylvania",0.7
875,"Texas County, Oklahoma",0.7
876,"Johnson County, Kentucky",0.7
877,"Klamath County, Oregon",0.7
878,"Scott County, Illinois",0.7
879,"Grayson County, Kentucky",0.7
880,"Washington County, Oklahoma",0.7
881,"Harper County, Oklahoma",0.7
882,"Whiteside County, Illinois",0.7
883,"Treutlen County, Georgia",0.7
884,"Perry County, Tennessee",0.7
885,"Toombs County, Georgia",0.7
886,"Rush County, Indiana",0.7
887,"Pontotoc County, Mississippi",0.7
888,"Coshocton County, Ohio",0.7
889,"Montgomery County, Georgia",0.7
890,"Upson County, Georgia",0.7
891,"Holmes County, Ohio",0.7
892,"Carroll County, Kentucky",0.7
893,"Wayne County, Missouri",0.7
894,"Washington County, Georgia",0.7
895,"Wayne County, Georgia",0.7
896,"Renville County, North Dakota",0.7
897,"Crittenden County, Kentucky",0.7
898,"Thomas County, Georgia",0.7
899,"Wexford County, Michigan",0.6
900,"Neosho County, Kansas",0.6
901,"Becker County, Minnesota",0.6
902,"Beaverhead County, Montana",0.6
903,"Houghton County, Michigan",0.6
904,"Schoolcraft County, Michigan",0.6
905,"Garrard County, Kentucky",0.6
906,"Iron County, Michigan",0.6
907,"Butler County, Kentucky",0.6
908,"Antrim County, Michigan",0.6
909,"Carter County, Kentucky",0.6
910,"Schuyler County, Missouri",0.6
911,"Benton County, Minnesota",0.6
912,"Platte County, Missouri",0.6
913,"Lyon County, Kansas",0.6
914,"Carlton County, Minnesota",0.6
915,"Cuming County, Nebraska",0.6
916,"Madison County, Mississippi",0.6
917,"Beauregard Parish, Louisiana",0.6
918,"Quitman County, Mississippi",0.6
919,"Park County, Montana",0.6
920,"Trigg County, Kentucky",0.6
921,"Boyle County, Kentucky",0.6
922,"Tippah County, Mississippi",0.6
923,"Natchitoches Parish, Louisiana",0.6
924,"Ouachita Parish, Louisiana",0.6
925,"Rush County, Kansas",0.6
926,"Lake County, Montana",0.6
927,"Yazoo County, Mississippi",0.6
928,"Barton County, Missouri",0.6
929,"Rapides Parish, Louisiana",0.6
930,"Nelson County, Kentucky",0.6
931,"Butler County, Missouri",0.6
932,"St. Helena Parish, Louisiana",0.6
933,"Coahoma County, Mississippi",0.6
934,"Union Parish, Louisiana",0.6
935,"Gasconade County, Missouri",0.6
936,"West Baton Rouge Parish, Louisiana",0.6
937,"Wabaunsee County, Kansas",0.6
938,"Roosevelt County, Montana",0.6
939,"Burt County, Nebraska",0.6
940,"Ottawa County, Kansas",0.6
941,"Calvert County, Maryland",0.6
942,"Graves County, Kentucky",0.6
943,"Cumberland County, Maine",0.6
944,"Charlevoix County, Michigan",0.6
945,"Gibson County, Tennessee",0.6
946,"Venango County, Pennsylvania",0.6
947,"Smyth County, Virginia",0.6
948,"Marion County, Illinois",0.6
949,"Luzerne County, Pennsylvania",0.6
950,"Livingston County, Illinois",0.6
951,"Lycoming County, Pennsylvania",0.6
952,"Park County, Colorado",0.6
953,"Pittsylvania County, Virginia",0.6
954,"Northampton County, Virginia",0.6
955,"Huntington County, Indiana",0.6
956,"Windsor County, Vermont",0.6
957,"Laurens County, South Carolina",0.6
958,"Windham County, Vermont",0.6
959,"Columbia County, Florida",0.6
960,"Beadle County, South Dakota",0.6
961,"Davison County, South Dakota",0.6
962,"Deuel County, South Dakota",0.6
963,"Morgan County, Colorado",0.6
964,"Tazewell County, Virginia",0.6
965,"Yamhill County, Oregon",0.6
966,"Washington County, Oregon",0.6
967,"Creek County, Oklahoma",0.6
968,"Greene County, Indiana",0.6
969,"Garvin County, Oklahoma",0.6
970,"Okanogan County, Washington",0.6
971,"Mason County, Washington",0.6
972,"Chaffee County, Colorado",0.6
973,"Lewis County, Washington",0.6
974,"Pittsburg County, Oklahoma",0.6
975,"Pottawatomie County, Oklahoma",0.6
976,"Clear Creek County, Colorado",0.6
977,"Warren County, Illinois",0.6
978,"Klickitat County, Washington",0.6
979,"Suffolk city, Virginia",0.6
980,"Staunton city, Virginia",0.6
981,"Multnomah County, Oregon",0.6
982,"Hamlin County, South Dakota",0.6
983,"McCook County, South Dakota",0.6
984,"Payette County, Idaho",0.6
985,"Nueces County, Texas",0.6
986,"Sevier County, Tennessee",0.6
987,"Pulaski County, Georgia",0.6
988,"Liberty County, Texas",0.6
989,"Burnet County, Texas",0.6
990,"Cameron County, Texas",0.6
991,"Camp County, Texas",0.6
992,"Carson County, Texas",0.6
993,"Johnson County, Texas",0.6
994,"Concho County, Texas",0.6
995,"Crisp County, Georgia",0.6
996,"Laurens County, Georgia",0.6
997,"Lanier County, Georgia",0.6
998,"Crosby County, Texas",0.6
999,"Hancock County, Georgia",0.6
1000,"Ector County, Texas",0.6
1001,"Milam County, Texas",0.6
1002,"Overton County, Tennessee",0.6
1003,"Owyhee County, Idaho",0.6
1004,"Johnson County, Tennessee",0.6
1005,"Pennington County, South Dakota",0.6
1006,"Holmes County, Florida",0.6
1007,"Tripp County, South Dakota",0.6
1008,"Turner County, South Dakota",0.6
1009,"Zavala County, Texas",0.6
1010,"Chester County, Tennessee",0.6
1011,"Crockett County, Tennessee",0.6
1012,"Upshur County, Texas",0.6
1013,"Tom Green County, Texas",0.6
1014,"Franklin County, Tennessee",0.6
1015,"Shelby County, Texas",0.6
1016,"Grainger County, Tennessee",0.6
1017,"Hancock County, Tennessee",0.6
1018,"Henderson County, Tennessee",0.6
1019,"Henry County, Tennessee",0.6
1020,"Choctaw County, Oklahoma",0.6
1021,"Clallam County, Washington",0.6
1022,"Alfalfa County, Oklahoma",0.6
1023,"Foster County, North Dakota",0.6
1024,"Wilson County, North Carolina",0.6
1025,"Sawyer County, Wisconsin",0.6
1026,"Tyler County, West Virginia",0.6
1027,"Wayne County, West Virginia",0.6
1028,"Lassen County, California",0.6
1029,"Little River County, Arkansas",0.6
1030,"Lake County, California",0.6
1031,"Pender County, North Carolina",0.6
1032,"Clay County, Kansas",0.6
1033,"Logan County, Arkansas",0.6
1034,"Cherokee County, Kansas",0.6
1035,"Kewaunee County, Wisconsin",0.6
1036,"Bladen County, North Carolina",0.6
1037,"Skamania County, Washington",0.6
1038,"Seneca County, New York",0.6
1039,"Lafayette County, Wisconsin",0.6
1040,"Lincoln County, Wisconsin",0.6
1041,"Trempealeau County, Wisconsin",0.6
1042,"Brown County, Kansas",0.6
1043,"Pepin County, Wisconsin",0.6
1044,"Barton County, Kansas",0.6
1045,"Eddy County, New Mexico",0.6
1046,"Webster County, Iowa",0.6
1047,"Jefferson County, New York",0.6
1048,"Genesee County, New York",0.6
1049,"Drew County, Arkansas",0.6
1050,"Chautauqua County, New York",0.6
1051,"Scott County, Indiana",0.6
1052,"Blount County, Alabama",0.6
1053,"Crenshaw County, Alabama",0.6
1054,"Walker County, Alabama",0.6
1055,"Fulton County, Ohio",0.6
1056,"Fajardo Municipio, Puerto Rico",0.6
1057,"Shasta County, California",0.6
1058,"Perry County, Indiana",0.6
1059,"Sullivan County, Indiana",0.6
1060,"Mohave County, Arizona",0.6
1061,"Highland County, Ohio",0.6
1062,"Switzerland County, Indiana",0.6
1063,"Pembina County, North Dakota",0.6
1064,"Jackson County, Ohio",0.6
1065,"Richland County, Ohio",0.6
1066,"Johnson County, Nebraska",0.6
1067,"Cidra Municipio, Puerto Rico",0.6
1068,"Ford County, Kansas",0.6
1069,"Yuma County, Arizona",0.6
1070,"Mingo County, West Virginia",0.6
1071,"Pershing County, Nevada",0.6
1072,"McHenry County, North Dakota",0.6
1073,"Jefferson County, Nebraska",0.6
1074,"Haskell County, Texas",0.5
1075,"Hamilton County, Texas",0.5
1076,"Robertson County, Texas",0.5
1077,"Lavaca County, Texas",0.5
1078,"Potter County, Texas",0.5
1079,"Hunt County, Texas",0.5
1080,"Crook County, Wyoming",0.5
1081,"Lauderdale County, Mississippi",0.5
1082,"Nolan County, Texas",0.5
1083,"Midland County, Texas",0.5
1084,"Maverick County, Texas",0.5
1085,"Jefferson County, Mississippi",0.5
1086,"Matagorda County, Texas",0.5
1087,"McCulloch County, Texas",0.5
1088,"Isabella County, Michigan",0.5
1089,"Aguas Buenas Municipio, Puerto Rico",0.5
1090,"Lubbock County, Texas",0.5
1091,"Garfield County, Utah",0.5
1092,"Montcalm County, Michigan",0.5
1093,"Fayette County, Texas",0.5
1094,"Shenandoah County, Virginia",0.5
1095,"Taylor County, West Virginia",0.5
1096,"Pendleton County, West Virginia",0.5
1097,"Westmoreland County, Virginia",0.5
1098,"York County, Virginia",0.5
1099,"Marion County, West Virginia",0.5
1100,"Petersburg city, Virginia",0.5
1101,"Olmsted County, Minnesota",0.5
1102,"Tucker County, West Virginia",0.5
1103,"Island County, Washington",0.5
1104,"Lewis County, West Virginia",0.5
1105,"Harrison County, West Virginia",0.5
1106,"Greenbrier County, West Virginia",0.5
1107,"Lac qui Parle County, Minnesota",0.5
1108,"Fayette County, West Virginia",0.5
1109,"Whitman County, Washington",0.5
1110,"Cottonwood County, Minnesota",0.5
1111,"Russell County, Virginia",0.5
1112,"Walker County, Texas",0.5
1113,"Door County, Wisconsin",0.5
1114,"Newaygo County, Michigan",0.5
1115,"Osceola County, Michigan",0.5
1116,"Milwaukee County, Wisconsin",0.5
1117,"Box Elder County, Utah",0.5
1118,"Wayne County, Michigan",0.5
1119,"Green County, Wisconsin",0.5
1120,"Weber County, Utah",0.5
1121,"Dodge County, Wisconsin",0.5
1122,"Giles County, Virginia",0.5
1123,"Essex County, Vermont",0.5
1124,"Burnett County, Wisconsin",0.5
1125,"Carroll County, Mississippi",0.5
1126,"Caroline County, Virginia",0.5
1127,"Craig County, Virginia",0.5
1128,"Culpeper County, Virginia",0.5
1129,"Dickenson County, Virginia",0.5
1130,"Galveston County, Texas",0.5
1131,"Harlan County, Nebraska",0.5
1132,"El Paso County, Texas",0.5
1133,"Carroll County, Ohio",0.5
1134,"Perquimans County, North Carolina",0.5
1135,"Robeson County, North Carolina",0.5
1136,"Rockingham County, North Carolina",0.5
1137,"Warren County, North Carolina",0.5
1138,"Wayne County, North Carolina",0.5
1139,"Barnes County, North Dakota",0.5
1140,"Grand Forks County, North Dakota",0.5
1141,"Griggs County, North Dakota",0.5
1142,"McIntosh County, North Dakota",0.5
1143,"Mercer County, North Dakota",0.5
1144,"Morton County, North Dakota",0.5
1145,"Crawford County, Ohio",0.5
1146,"Dimmit County, Texas",0.5
1147,"Geauga County, Ohio",0.5
1148,"Marion County, Ohio",0.5
1149,"Mercer County, Ohio",0.5
1150,"St. Francois County, Missouri",0.5
1151,"Ross County, Ohio",0.5
1152,"Sandusky County, Ohio",0.5
1153,"Jackson County, Oklahoma",0.5
1154,"Lincoln County, Oklahoma",0.5
1155,"Muskogee County, Oklahoma",0.5
1156,"Pawnee County, Oklahoma",0.5
1157,"Roger Mills County, Oklahoma",0.5
1158,"McDowell County, North Carolina",0.5
1159,"Duplin County, North Carolina",0.5
1160,"Davie County, North Carolina",0.5
1161,"Catawba County, North Carolina",0.5
1162,"Nance County, Nebraska",0.5
1163,"Frontier County, Nebraska",0.5
1164,"Thurston County, Nebraska",0.5
1165,"York County, Nebraska",0.5
1166,"Clark County, Nevada",0.5
1167,"Deuel County, Nebraska",0.5
1168,"Dakota County, Nebraska",0.5
1169,"Merrimack County, New Hampshire",0.5
1170,"Strafford County, New Hampshire",0.5
1171,"Mercer County, New Jersey",0.5
1172,"Union County, New Jersey",0.5
1173,"Yellowstone County, Montana",0.5
1174,"Teton County, Montana",0.5
1175,"Silver Bow County, Montana",0.5
1176,"Lincoln County, New Mexico",0.5
1177,"Montgomery County, New York",0.5
1178,"New York County, New York",0.5
1179,"Oneida County, New York",0.5
1180,"Orleans County, New York",0.5
1181,"Oswego County, New York",0.5
1182,"Schoharie County, New York",0.5
1183,"Schuyler County, New York",0.5
1184,"Yates County, New York",0.5
1185,"Woodward County, Oklahoma",0.5
1186,"Columbia County, Oregon",0.5
1187,"Coos County, Oregon",0.5
1188,"Callaway County, Missouri",0.5
1189,"Benton County, Tennessee",0.5
1190,"Campbell County, Tennessee",0.5
1191,"Audrain County, Missouri",0.5
1192,"DeKalb County, Tennessee",0.5
1193,"Hitchcock County, Nebraska",0.5
1194,"Jefferson County, Tennessee",0.5
1195,"Wayne County, Mississippi",0.5
1196,"Rhea County, Tennessee",0.5
1197,"Tate County, Mississippi",0.5
1198,"Scott County, Tennessee",0.5
1199,"Sequatchie County, Tennessee",0.5
1200,"Stone County, Mississippi",0.5
1201,"Trousdale County, Tennessee",0.5
1202,"Weakley County, Tennessee",0.5
1203,"Austin County, Texas",0.5
1204,"Bexar County, Texas",0.5
1205,"Brazos County, Texas",0.5
1206,"Briscoe County, Texas",0.5
1207,"Brown County, Texas",0.5
1208,"Cherokee County, Texas",0.5
1209,"Monroe County, Mississippi",0.5
1210,"Cooke County, Texas",0.5
1211,"DeWitt County, Texas",0.5
1212,"Bollinger County, Missouri",0.5
1213,"Hanson County, South Dakota",0.5
1214,"Curry County, Oregon",0.5
1215,"Brule County, South Dakota",0.5
1216,"Hood River County, Oregon",0.5
1217,"Lincoln County, Oregon",0.5
1218,"Marion County, Oregon",0.5
1219,"Carbon County, Pennsylvania",0.5
1220,"Fayette County, Pennsylvania",0.5
1221,"Lawrence County, Missouri",0.5
1222,"Franklin County, Pennsylvania",0.5
1223,"Lafayette County, Missouri",0.5
1224,"Lebanon County, Pennsylvania",0.5
1225,"Schuylkill County, Pennsylvania",0.5
1226,"Somerset County, Pennsylvania",0.5
1227,"Tioga County, Pennsylvania",0.5
1228,"Wayne County, Pennsylvania",0.5
1229,"Abbeville County, South Carolina",0.5
1230,"Barnwell County, South Carolina",0.5
1231,"Colleton County, South Carolina",0.5
1232,"Darlington County, South Carolina",0.5
1233,"Florence County, South Carolina",0.5
1234,"Greene County, Missouri",0.5
1235,"Jasper County, South Carolina",0.5
1236,"Pickens County, South Carolina",0.5
1237,"Union County, South Carolina",0.5
1238,"Crawford County, Missouri",0.5
1239,"Marlboro County, South Carolina",0.5
1240,"Autauga County, Alabama",0.5
1241,"Los Angeles County, California",0.5
1242,"Siskiyou County, California",0.5
1243,"Dorchester County, Maryland",0.5
1244,"St. Mary Parish, Louisiana",0.5
1245,"Cloud County, Kansas",0.5
1246,"Cleveland County, Arkansas",0.5
1247,"Gunnison County, Colorado",0.5
1248,"LaPorte County, Indiana",0.5
1249,"Garrett County, Maryland",0.5
1250,"Hart County, Kentucky",0.5
1251,"Laurel County, Kentucky",0.5
1252,"Walker County, Georgia",0.5
1253,"Plaquemines Parish, Louisiana",0.5
1254,"Pinal County, Arizona",0.5
1255,"St. Mary's County, Maryland",0.5
1256,"Lewis County, Kentucky",0.5
1257,"Lincoln Parish, Louisiana",0.5
1258,"Washington County, Arkansas",0.5
1259,"McCracken County, Kentucky",0.5
1260,"Juneau City and Borough, Alaska",0.5
1261,"Canyon County, Idaho",0.5
1262,"Meriwether County, Georgia",0.5
1263,"Henderson County, Illinois",0.5
1264,"Bristol County, Massachusetts",0.5
1265,"Warren County, Indiana",0.5
1266,"Charles County, Maryland",0.5
1267,"Pope County, Arkansas",0.5
1268,"Butte County, California",0.5
1269,"Sonoma County, California",0.5
1270,"Edmonson County, Kentucky",0.5
1271,"Hancock County, Maine",0.5
1272,"Richland County, Illinois",0.5
1273,"Telfair County, Georgia",0.5
1274,"Pike County, Illinois",0.5
1275,"Catoosa County, Georgia",0.5
1276,"Yolo County, California",0.5
1277,"Okeechobee County, Florida",0.5
1278,"Stephens County, Georgia",0.5
1279,"Gilchrist County, Florida",0.5
1280,"Perry County, Illinois",0.5
1281,"Fleming County, Kentucky",0.5
1282,"Lincoln County, Maine",0.5
1283,"Penobscot County, Maine",0.5
1284,"Greenwood County, Kansas",0.5
1285,"Vernon Parish, Louisiana",0.5
1286,"Clay County, Illinois",0.5
1287,"Adams County, Illinois",0.5
1288,"Bracken County, Kentucky",0.5
1289,"Rabun County, Georgia",0.5
1290,"Caroline County, Maryland",0.5
1291,"Anderson County, Kentucky",0.5
1292,"Wilson County, Kansas",0.5
1293,"Leon County, Florida",0.5
1294,"Cass County, Indiana",0.5
1295,"Fremont County, Iowa",0.5
1296,"Litchfield County, Connecticut",0.5
1297,"Henry County, Georgia",0.5
1298,"New London County, Connecticut",0.5
1299,"Essex County, Massachusetts",0.5
1300,"Bonneville County, Idaho",0.5
1301,"Jefferson County, Alabama",0.5
1302,"Dallas County, Alabama",0.5
1303,"Jefferson County, Georgia",0.5
1304,"Honolulu County, Hawaii",0.5
1305,"Imperial County, California",0.5
1306,"Coosa County, Alabama",0.5
1307,"Worth County, Georgia",0.5
1308,"Houston County, Georgia",0.5
1309,"Maui County, Hawaii",0.5
1310,"Fountain County, Indiana",0.5
1311,"Boone County, Iowa",0.5
1312,"Chambers County, Alabama",0.5
1313,"Greene County, Illinois",0.5
1314,"Rio Blanco County, Colorado",0.5
1315,"Liberty County, Florida",0.5
1316,"Macon County, Georgia",0.5
1317,"McIntosh County, Georgia",0.5
1318,"Bay County, Michigan",0.5
1319,"Russell County, Kentucky",0.5
1320,"Kearny County, Kansas",0.5
1321,"Hale County, Alabama",0.5
1322,"Chickasaw County, Iowa",0.5
1323,"Calaveras County, California",0.5
1324,"Pemiscot County, Missouri",0.4
1325,"Muhlenberg County, Kentucky",0.4
1326,"Hardeman County, Tennessee",0.4
1327,"Carter County, Oklahoma",0.4
1328,"Moniteau County, Missouri",0.4
1329,"Oldham County, Kentucky",0.4
1330,"Duchesne County, Utah",0.4
1331,"Upshur County, West Virginia",0.4
1332,"Merced County, California",0.4
1333,"Sullivan County, New Hampshire",0.4
1334,"Benton County, Missouri",0.4
1335,"Lenoir County, North Carolina",0.4
1336,"Montgomery County, Missouri",0.4
1337,"Calhoun County, West Virginia",0.4
1338,"Stanislaus County, California",0.4
1339,"Rockingham County, New Hampshire",0.4
1340,"Adams County, Idaho",0.4
1341,"Elko County, Nevada",0.4
1342,"Jackson County, North Carolina",0.4
1343,"Nodaway County, Missouri",0.4
1344,"Jones County, North Carolina",0.4
1345,"Douglas County, Nevada",0.4
1346,"Sutter County, California",0.4
1347,"Franklin County, Kentucky",0.4
1348,"Franklin County, North Carolina",0.4
1349,"Napa County, California",0.4
1350,"Guilford County, North Carolina",0.4
1351,"Kendall County, Texas",0.4
1352,"Karnes County, Texas",0.4
1353,"Pleasants County, West Virginia",0.4
1354,"Meigs County, Tennessee",0.4
1355,"Lucas County, Ohio",0.4
1356,"Lee County, Florida",0.4
1357,"Stark County, Ohio",0.4
1358,"San Joaquin County, California",0.4
1359,"Franklin County, Missouri",0.4
1360,"Dunklin County, Missouri",0.4
1361,"Washoe County, Nevada",0.4
1362,"Williams County, Ohio",0.4
1363,"Cheshire County, New Hampshire",0.4
1364,"Gaston County, North Carolina",0.4
1365,"Monroe County, West Virginia",0.4
1366,"Jefferson County, Texas",0.4
1367,"Howard County, Indiana",0.4
1368,"Hertford County, North Carolina",0.4
1369,"Monroe County, Tennessee",0.4
1370,"Kauai County, Hawaii",0.4
1371,"Caddo County, Oklahoma",0.4
1372,"Maries County, Missouri",0.4
1373,"Raleigh County, West Virginia",0.4
1374,"Cass County, Missouri",0.4
1375,"Santa Cruz County, California",0.4
1376,"Muskingum County, Ohio",0.4
1377,"Jackson County, West Virginia",0.4
1378,"Lake County, Indiana",0.4
1379,"Henry County, Kentucky",0.4
1380,"Hopkins County, Kentucky",0.4
1381,"Rutherford County, Tennessee",0.4
1382,"Hillsborough County, New Hampshire",0.4
1383,"Jasper County, Missouri",0.4
1384,"Montgomery County, Tennessee",0.4
1385,"Cowley County, Kansas",0.4
1386,"Humboldt County, California",0.4
1387,"Gulf County, Florida",0.4
1388,"Phillips County, Montana",0.4
1389,"Brown County, Nebraska",0.4
1390,"Orleans County, Vermont",0.4
1391,"Box Butte County, Nebraska",0.4
1392,"Long County, Georgia",0.4
1393,"Audubon County, Iowa",0.4
1394,"Charlotte County, Florida",0.4
1395,"Fairfield County, Connecticut",0.4
1396,"Weld County, Colorado",0.4
1397,"Wayne County, Indiana",0.4
1398,"Otoe County, Nebraska",0.4
1399,"Des Moines County, Iowa",0.4
1400,"Stillwater County, Montana",0.4
1401,"Republic County, Kansas",0.4
1402,"Mitchell County, Georgia",0.4
1403,"Wabash County, Indiana",0.4
1404,"Otero County, Colorado",0.4
1405,"Caldwell County, Texas",0.4
1406,"Guadalupe County, Texas",0.4
1407,"Pamlico County, North Carolina",0.4
1408,"Hall County, Texas",0.4
1409,"Steuben County, Indiana",0.4
1410,"Pitt County, North Carolina",0.4
1411,"Butler County, Nebraska",0.4
1412,"Golden Valley County, North Dakota",0.4
1413,"Cass County, Iowa",0.4
1414,"Kingman County, Kansas",0.4
1415,"Kearney County, Nebraska",0.4
1416,"Ellis County, Texas",0.4
1417,"Hall County, Georgia",0.4
1418,"Gillespie County, Texas",0.4
1419,"Yancey County, North Carolina",0.4
1420,"Gage County, Nebraska",0.4
1421,"Meade County, Kansas",0.4
1422,"Goliad County, Texas",0.4
1423,"Fillmore County, Nebraska",0.4
1424,"New Haven County, Connecticut",0.4
1425,"Fauquier County, Virginia",0.4
1426,"Amherst County, Virginia",0.4
1427,"Gray County, Texas",0.4
1428,"Burke County, North Dakota",0.4
1429,"Dawes County, Nebraska",0.4
1430,"Grayson County, Virginia",0.4
1431,"Jackson County, Georgia",0.4
1432,"Calhoun County, Florida",0.4
1433,"Madison County, Nebraska",0.4
1434,"Moffat County, Colorado",0.4
1435,"Fannin County, Georgia",0.4
1436,"Licking County, Ohio",0.4
1437,"Towner County, North Dakota",0.4
1438,"Saunders County, Nebraska",0.4
1439,"Scotts Bluff County, Nebraska",0.4
1440,"Harris County, Texas",0.4
1441,"Mitchell County, North Carolina",0.4
1442,"Madison County, North Carolina",0.4
1443,"Atascosa County, Texas",0.4
1444,"Tooele County, Utah",0.4
1445,"Seminole County, Georgia",0.4
1446,"Porter County, Indiana",0.4
1447,"Pacific County, Washington",0.4
1448,"Atlantic County, New Jersey",0.4
1449,"Stoddard County, Missouri",0.4
1450,"Archuleta County, Colorado",0.4
1451,"Gadsden County, Florida",0.4
1452,"Macon County, North Carolina",0.4
1453,"Piute County, Utah",0.4
1454,"Knox County, Ohio",0.4
1455,"Spokane County, Washington",0.4
1456,"Thurston County, Washington",0.4
1457,"Ripley County, Missouri",0.4
